code,name,alias,age,dob,description,img
1,Okabe Rintarou,Hououin Kyouma,19,1991-12-14,"","Data/img/Okabe Rintarou.png"
2,Shiina Mayuri,Mayushii,16,1994-02-01,"","Data/img/Shiina Mayuri.png"
3,Hashida Itaru,Daru,19,1991-05-19,"","Data/img/Hashida Itaru.png"
4,Makise Kurisu,KuriGohan and Kamehameha,18,1992-07-25,"","Data/img/Makise Kurisu.png"
5,Kiryuu Moeka,Shining Finger,20,1990-06-06,"","Data/img/Kiryuu Moeka.png"
6,Urushibara Luka,Lukako,17,1993-08-30,"","Data/img/Urushibara Luka.png"
7,Akiha Rumiho,Faris NyanNyan,17,1993-04-03,"","Data/img/Akiha Rumiho.png"
8,Amane Suzuha,John Titor,18,2017-09-27,"","Data/img/Amane Suzuha.png"
9,Hiyajo Maho,Maho-tan,21,1989-11-02,"","Data/img/Hiyajo Maho.png"
10,Shiina Kagari,Kagari-chan,22,2026-07-07,"","Data/img/Shiina Kagari.png"
11,Amane Yuki,Amayuki,21,1989-05-31,"","Data/img/Amane Yuki.png"
